country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
France,"The flint soil behind this wine gives it a stony, smoky character that is allied to the mineral texture. It's a ripe wine, still young with pure fruit and an intense acidity. The wine needs to age, so drink from 2018.",Corty Artisan Silex,89,25.0,Loire Valley,Pouilly-Fumé,,Roger Voss,@vossroger,Patrice Moreux 2014 Corty Artisan Silex  (Pouilly-Fumé),Sauvignon Blanc,Patrice Moreux
Italy,"Simple and light-bodied, this informal wine offers raw, red berry flavors with just a dash of white pepper. Fleeting tannins provide a loose framework.",A Vampa,85,17.0,Sicily & Sardinia,Terre Siciliane,,Kerin O’Keefe,@kerinokeefe,Fazio 2013 A Vampa Nerello Mascalese (Terre Siciliane),Nerello Mascalese,Fazio
Chile,"Strange spice and ground cinnamon aromas shadow the fruit, which may be a good thing because the palate is flat and murky, with jammy, sweet flavors and not much follow up on the backside. Finishes creamy but bitter tasting.",,82,9.0,Central Valley,,,Michael Schachner,@wineschach,Terra Andina 2009 Carmenère (Central Valley),Carmenère,Terra Andina
France,"This is a smooth wine, with strawberry fruits and a creamy texture. The wine feels just off dry, making it accessible, warm and ripe. Screwcap.",Estandon,86,,Provence,Côtes de Provence,,Roger Voss,@vossroger,Les Maîtres Vignerons de Saint-Louis 2011 Estandon Rosé (Côtes de Provence),Rosé,Les Maîtres Vignerons de Saint-Louis
Italy,"This structured blend of 85% Sangiovese and 15% Merlot and Cabernet Sauvignon opens with slightly evolved aromas of prune, underbrush and a hint of leather. The rich palate delivers lush plum, black cherry and coffee accented with notes of Mediterranean herbs alongside solid but ripe tannins. Drink 2014–2019.",Vigna Casi Riserva,89,43.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Meleto 2009 Vigna Casi Riserva  (Chianti Classico),Red Blend,Castello di Meleto
France,"A sexy nose with nuances of mineral, pear and apricot cut by high floral tones leads to a crisp, more straightforward palate with a lush texture. Moderate acidity makes it a good choice for consuming without food. A dollar or two more than its competitors and worth every penny.",Reserve,88,13.0,Languedoc-Roussillon,Vin de Pays d'Oc,,,,La Forge Estate 2007 Reserve Viognier (Vin de Pays d'Oc),Viognier,La Forge Estate
US,"A classic coastal California Pinot, dry, silky and complex. So easy to like, gliding across the palate with raspberry, cherry, Canadian bacon and smoky sandalwood flavors that are filled with umami richness. Best over the next four years.",Amber Ridge Vineyard,90,42.0,California,Russian River Valley,Sonoma,,,Waits-Mast 2009 Amber Ridge Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Waits-Mast
US,"This organically farmed field blend includes some Petite Sirah and Alicante Bouschet. It has soft acidity and a simple structure, the flavors a mix of red and black cherry and berry.",Mr Beast Topolos Vineyard,84,28.0,California,Sonoma Mountain,Sonoma,Virginie Boone,@vboone,Barber 2014 Mr Beast Topolos Vineyard Zinfandel (Sonoma Mountain),Zinfandel,Barber
US,"This combines Chardonnay, Malvasia Bianca, Sauvignon Blanc and Chenin Blanc in nearly equal parts. A sweet, floral nose of honeysuckle dominates before apricot jam and vanilla flavors enter the scene. Thick and concentrated, it finishes with a dry, crisp lemon note.",Maple Station Estate Grown,86,28.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Ballentine 2016 Maple Station Estate Grown White (Napa Valley),White Blend,Ballentine
Italy,"Although you might encounter some initial sulfur, this wine later portrays yellow rose, peach, almond, cut grass and honey. It doesn't have huge flavor intensity but just enough to keep your attention.",,86,37.0,Northeastern Italy,Collio,,,,Mario Schiopetto 2004 Tocai Friulano (Collio),Tocai Friulano,Mario Schiopetto
Portugal,"It takes a while for the taste of this light, fresh white to come through. Then, it is soft, creamy textured, flavored with pear juice and lemon zest. It is simple, easy, cleanly made.",Portada Branco,84,8.0,Estremadura,,,Roger Voss,@vossroger,DFJ Vinhos 2008 Portada Branco White (Estremadura),Portuguese White,DFJ Vinhos
US,"This Mourvèdre/Syrah blend has loads of wild berry and black cherry, spiced up with tarragon and other herbs. The Syrah fills in the middle with juicy berry and peppery spice. The tannins are balanced and firm, barky but not overpowering.",Crazy Mary Ciel du Cheval,90,48.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Mark Ryan 2007 Crazy Mary Ciel du Cheval Mourvèdre (Columbia Valley (WA)),Mourvèdre,Mark Ryan
Italy,"Made with 100% Chardonnay, this opens with a delicate fragrance that recalls white flower, ripe apple and a whiff of breadcrust. The creamy palate offers white peach, candied citrus and white almond alongside a soft, persistent mousse.",Saten,90,40.0,Lombardy,Franciacorta,,Kerin O’Keefe,@kerinokeefe,Montenisa NV Saten Chardonnay (Franciacorta),Chardonnay,Montenisa
US,"The blend is complex, including Syrah, Cabernet Sauvignon and others, and the flavors are also complex. They include delicious red currants, jammy mulberries, spicy mocha and smoky oak. Perfectly ready for drinking now with upscale fare.",,88,24.0,California,Napa Valley,Napa,,,Charles Krug 2010 Merlot (Napa Valley),Merlot,Charles Krug
US,"Flashy and delicious, this could even grow in the bottle with a few years of aging, becoming earthier and drier in fruit. Otherwise, it's perfectly fine now—a soft, complex wine, with brisk acidity and flavors of blackberry, black currant and mocha.",,92,85.0,California,Knights Valley,Sonoma,,,Super Sonoman 2008 Cabernet Sauvignon (Knights Valley),Cabernet Sauvignon,Super Sonoman
France,"Gentle spice and redcurrant notes promise a subtle wine. The palate does not disappoint and sings with translucent, light-footed elegance. This is all about charm and ease, about chiffon rather than velvet. Crisp freshness brightens and lightens everything. It's a mere whiff of a wine but a delicious one.",Tradition,90,20.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Kuentz-Bas 2014 Tradition Pinot Noir (Alsace),Pinot Noir,Kuentz-Bas
Spain,"The Valencia region has never been known for world-class wines, but this is exemplary. Aromas of sweet plum, boysenberry, blueberry and minerals lead into a structured, full-bodied palate with wild berry, cassis and herbal flavors. A lively palate is the antithesis of shy, while firm acidity keeps this fresh. Drink through 2018.",Single Vineyard,90,29.0,Levante,Valencia,,Michael Schachner,@wineschach,Angosto 2011 Single Vineyard Red (Valencia),Red Blend,Angosto
France,"Ripe black fruits combine with bitter chocolate and toast from the wood to give a very ripe wine. It is structured at this stage but is likely to ripen and round out over the next 3–4 years to give a rich, smooth, Merlot style.",,88,34.0,Bordeaux,Lalande de Pomerol,,Roger Voss,@vossroger,Château Sergant 2009  Lalande de Pomerol,Bordeaux-style Red Blend,Château Sergant
France,"This wine is all about fruit—ripe, velvety in texture and rich on the palate. It is dense, black in character without allowing the natural tannins of the Tannat to dominate. With its fruit, it will develop over the medium term. Drink from 2017.",Chapelle Enclos,90,22.0,Southwest France,Madiran,,Roger Voss,@vossroger,Château d'Aydie 2012 Chapelle Enclos Red (Madiran),Red Blend,Château d'Aydie
US,"Fruity frills of strawberry surround a core of black New Mexican chiles, with cinnamon and clove emerging the longer one sniffs. There's nice tension between the fruit flavors and the nearly bell pepper greenness. Throw a chill on it and serve with barbecued pork.",Estate,91,28.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Still Waters 2010 Estate Cabernet Franc (Paso Robles),Cabernet Franc,Still Waters
Italy,"Exotic fruit, honeysuckle and apple aromas commingle on the nose of this wine. The palate is less expressive, offering simple, faint white peach and citrus notes, with crisp acidity. It finishes fresh and clean.",,85,10.0,Veneto,Soave,,Kerin O’Keefe,@kerinokeefe,Monte Zovo 2016  Soave,White Blend,Monte Zovo
France,"This wine is fruity and crisp, with attractive balanced acidity. It's all about raspberry and red currants. A refreshing character gives citrus tang to the aftertaste.",Le Rosé de Mouton Cadet,86,15.0,Bordeaux,Bordeaux Rosé,,Roger Voss,@vossroger,Baron Philippe de Rothschild 2014 Le Rosé de Mouton Cadet Rosé (Bordeaux Rosé),Rosé,Baron Philippe de Rothschild
Spain,"Classic Albariño aromas of sea brine, tropical fruits, lees and dust precede a minerally lemony palate with tangy flavors of lemon, lime and gooseberry. This is a fresh clean example with a long stony citrusy finish.",Sin Palabras Castrovaldés,90,20.0,Galicia,Rías Baixas,,Michael Schachner,@wineschach,Castro Brey 2014 Sin Palabras Castrovaldés Albariño (Rías Baixas),Albariño,Castro Brey
Portugal,"This Syrah-based wine is dense, concentrated and seriously ageworthy. It is weighted by concentrated black fruit, with solid tannic structure and fine acidity on the finish. Drink after 2016.",Incógnito,91,60.0,Alentejano,,,Roger Voss,@vossroger,Cortes de Cima 2011 Incógnito Syrah (Alentejano),Syrah,Cortes de Cima
US,"The barrel aromas of vanilla and coconut are far out front of the fruit on this blend of Petite Sirah (40%), Zinfandel (33%), Lemberger (20%) and Syrah. It's full bodied with the wood overwhelming any sense of varietal flavors.",D.R. Wolfe's Family,85,16.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Thurston Wolfe 2012 D.R. Wolfe's Family Red (Horse Heaven Hills),Red Blend,Thurston Wolfe
US,"This is a big, sweet, extracted wine, for those who like Chardonnay packed with fruit. It tastes like buttered popcorn, orange jam, gingerbread and vanilla caramel.",Lot #6,85,15.0,California,Sonoma Coast,Sonoma,,,Tangley Oaks 2009 Lot #6 Chardonnay (Sonoma Coast),Chardonnay,Tangley Oaks
US,"This is one of the most Chablis-style Chardonnays on the market. It's bone dry, and has a steely, minerally elegance made complex with layers of pineapples and limes, and even a honeysuckle richness. The oak, interestingly, comes from Hungary. A terrific wine, far from the overoaked, buttered popcorn style so popular now. Production was only 227 cases.",Boon Fly's Hill,94,50.0,California,Carneros,Napa-Sonoma,,,Kazmer & Blaise 2009 Boon Fly's Hill Chardonnay (Carneros),Chardonnay,Kazmer & Blaise
France,"The three A's stand for wine from Avize, Aÿ and Ambonnay, all grand cru villages. It is in the rich De Sousa style, but with an extra dimension of Pinot Noir that gives concentration and a perfumed character. The green plum juice and cranberry texture are full-on, leaving a dense finish.",Cuvée 3A Grand Cru Brut,92,60.0,Champagne,Champagne,,Roger Voss,@vossroger,De Sousa & Fils NV Cuvée 3A Grand Cru Brut  (Champagne),Champagne Blend,De Sousa & Fils
Italy,"Despite the cool growing season in 2008, this Brunello shows ripe aromas of cherry and plump black fruit. Softer tones of spice and graham cracker fill in the rear, and ultimately the wine's crisp acidity comes as a surprise.",,88,40.0,Tuscany,Brunello di Montalcino,,,,Ferrero 2008  Brunello di Montalcino,Sangiovese Grosso,Ferrero
US,"Herb, wood spice, dried cherry, coffee and clove aromas lead to palate-coating full-bodied cherry and bittersweet-chocolate flavors. It captures the attention, with the feel providing as much enjoyment as the flavors, though at times it seems a bit advanced for its age.",Estate Grown Blue Mountain Vineyard,91,40.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Tranche 2012 Estate Grown Blue Mountain Vineyard Cabernet Franc (Walla Walla Valley (WA)),Cabernet Franc,Tranche
New Zealand,"Starts off with a slightly funky, struck-match aroma, but then opens to reveal tangerine, nectarine and roasted-nut scents. The flavors are an blend of all that, delivered via a rich silky-textured palate and ending long.",Te Koko,93,50.0,Marlborough,,,Joe Czerwinski,@JoeCz,Cloudy Bay 2011 Te Koko Sauvignon Blanc (Marlborough),Sauvignon Blanc,Cloudy Bay
US,"This combines 95% Pinot Noir with 4% Chardonnay and 1% Pinot Meunier in a just slightly sweet, rounded taste of fresh berries and lush, somewhat piquant acidity.",Blanc de Noirs,88,22.0,California,California,California Other,Virginie Boone,@vboone,Chandon NV Blanc de Noirs Sparkling (California),Sparkling Blend,Chandon
France,"Even the richest, spiciest wines from Rieflé-Landmann retain freshness. So this hugely spicy wine still has a crisp element that gives it a great lift. It's structured with some dryness at the end as a contrast to the more honeyed opening. Drink from 2018.",Seppi Landmann Zinnkoepflé Grand Cru,93,78.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Rieflé-Landmann 2013 Seppi Landmann Zinnkoepflé Grand Cru Gewurztraminer (Alsace),Gewürztraminer,Domaine Rieflé-Landmann
US,"From vineyards at 400 to 1,800 feet in elevation, this wine opens with an intensely aromatic nose of honey and caramel. Sultry and seductive, with full-bodied fruit concentration, it emanates spicy fig, pear and quince, finishing bright with stony minerality.",Estate,92,40.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Stonestreet 2014 Estate Chardonnay (Alexander Valley),Chardonnay,Stonestreet
Italy,"Fresh and easy, with bright acidity and steady effervescence, this Chardonnay-based sparkler would pair well with fried finger foods or appetizers. The wine is easygoing and refreshing.",Brut,87,16.0,Piedmont,Piedmont,,,,Borgo Maragliano NV Brut Chardonnay (Piedmont),Chardonnay,Borgo Maragliano
Australia,"Initial aromas are volatile yet attractive in dried autumn leaves, cola, baking spices and red currants, while the palate slaps you in the face with vice-like tannins and tart, mouth-puckering acidity. A bitter oak finish, without the fruit or structure doesn't hold it all together.",,85,,South Australia,McLaren Vale,,,,Blackbilly 2015 G-S-M (McLaren Vale),G-S-M,Blackbilly
South Africa,"Winemaker: Bruwer Raats. There's a lot to like in this pretty, elegant and floral wine. It starts off with notes of bright red cherry, wild strawberry and currant, followed by supporting notes of pressed carnation, freshly turned forest floor and earthy minerality. The mouthfeel is like crushed satin, boasting fine, well-integrated tannins and bright acidity for overall balance. Hints of cured meat and baking spice unfold on the close. Drink now–2021.",Cape Winemakers Guild Inboet Storie,91,,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,B Vintners 2016 Cape Winemakers Guild Inboet Storie Cinsault (Stellenbosch),Cinsault,B Vintners
Spain,"Grassy on the nose, and for a brut nature this is decidedly flat in aromas, with ultradry flavors of lime and tangerine along with powdery vanilla. Super light on the finish, which dissipates in no time. Almost tart and lacking in the long run.",Brut Nature,84,18.0,Catalonia,Cava,,Michael Schachner,@wineschach,Miquel Pons NV Brut Nature Sparkling (Cava),Sparkling Blend,Miquel Pons
Italy,"This oak-driven Aglianico opens with aromas of coffee, toasted wood, espresso and black fruit. The dense, extracted palate offers oaky vanilla and sugar-plum alongside drying and astringent wood tannins.",Jumara,86,25.0,Southern Italy,Irpinia,,Kerin O’Keefe,@kerinokeefe,I Capitani 2010 Jumara Aglianico (Irpinia),Aglianico,I Capitani
France,A white this age should be fresh and crisp; this one is a bit dull and shows only faint bitter lemon flavors on the finish to go with tired apple aromas.,,80,8.0,Southwest France,Bergerac,,Joe Czerwinski,@JoeCz,Seigneurs de Bergerac 1999 White (Bergerac),White Blend,Seigneurs de Bergerac
US,"Very sweet in white sugared orange and vanilla flavors, like a honey-nut candy bar. Will satisfy Chard lovers with a sweet tooth",Spirit Hawk,84,15.0,California,California,California Other,,,Lander-Jenkins 2010 Spirit Hawk Chardonnay (California),Chardonnay,Lander-Jenkins
US,"Not a whole lot going on in this soft, simple wine. The cherry, raspberry and root beer flavors are ultraripe, with a liqueured quality, and the finish is semisweet.",L'Imaginaire,84,39.0,California,Santa Barbara County,Central Coast,,,Vie Winery 2005 L'Imaginaire Grenache (Santa Barbara County),Grenache,Vie Winery
France,"This is an aromatic wine, with smooth tannins that make this ready to drink. With age it will gain complex spicy flavors, with richness and juicy acidity on the finish.",La Négrette de Bouissel,89,19.0,Southwest France,Fronton,,Roger Voss,@vossroger,Château Bouissel 2011 La Négrette de Bouissel Negrette (Fronton),Negrette,Château Bouissel
Greece,"Honey, flowers and citrus aromas are pronounced and pretty in this Chardonnay. Rounded honey, citrus and toasted flavors are balanced and buoyed by acidity, freshness and spice. A very nice everyday white that's both elegant and easygoing.",,88,13.0,Peloponnese,,,Susan Kostrzewa,@suskostrzewa,Cambas 2007 Chardonnay (Peloponnese),Chardonnay,Cambas
US,"A spine of steel runs through the core of this wine, supporting spicy fruit flavors of cranberry, pomegranate and raspberry. Details of black tea contribute to the length, while the balanced tannins and underlying minerality give it still more structural support.",Carter Vineyard,94,65.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Ken Wright 2012 Carter Vineyard Pinot Noir (Eola-Amity Hills),Pinot Noir,Ken Wright
Italy,"Fragrant and foaming, this opens with delicate aromas of wisteria, hawthorn and orchard fruit. The luminous palate offers green apple, pear and candied lemon drop supported by racy acidity and small, vivacious bubbles.",Extra Dry Millesimato,88,16.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Kerin O’Keefe,@kerinokeefe,Raphael Dal Bo 2014 Extra Dry Millesimato  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Raphael Dal Bo
US,"Very inviting, incredibly rich aromas of butterscotch, crème brûlée, peach custard, lemon curds, honeysuckle and caramelized banana show on this wine's thick nose. The palate offers orange peels cooked in a buttery sauce, marshmallows and marzipan.",Reserve,88,35.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Bridlewood 2013 Reserve Chardonnay (Santa Lucia Highlands),Chardonnay,Bridlewood
Portugal,"Delaforce is a long-established brand that first appeared in the US in the 1930s though it came on the European market in 1878. The wine is sweet with that fascinating old wood character of an aged tawny. Toffee, spice and dried fruits give it a wide range of flavors. The wine, ripe and balanced, is ready to drink.",Curious & Ancient 20 Years,90,60.0,Port,,,Roger Voss,@vossroger,Delaforce NV Curious & Ancient 20 Years  (Port),Port,Delaforce
Italy,"Made with 90% Sangiovese and 10% Merlot, this is a wine to pour with casual meals. It's on the lean side, with raw cherry-berry sensations, soft acidity and angular tannins. Drink soon.",,84,15.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Piccini 2009  Chianti Classico,Red Blend,Piccini
US,"This is one of the Fillippini family winery's best barrel blends, comprised of 71% Cabernet Sauvignon, 14% Malbec, 10% Merlot and 5% Petit Verdot. The nose shows Concord grape, wisteria and black licorice aromas, while the palate doubles down on the licorice spice, with blueberry fruit, char and pepper in the background.",Nikiara,88,45.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Le Vigne 2014 Nikiara Red (Paso Robles),Bordeaux-style Red Blend,Le Vigne
Italy,"Burdese is Sicily's tip-of-the-hat to the great wines of Bordeaux. A blended red, the wine is elegant and firm, with dark concentration and earthy tones of leather and spice behind fresh berry and blackberry. Balance and length characterize the mouthfeel.",Burdese,91,42.0,Sicily & Sardinia,Sicilia,,,,Planeta 2008 Burdese Red (Sicilia),Red Blend,Planeta
US,"Light pepper, cassis and a hint of leather form the nose on this wine from a brand founded in 1994 specifically to deliver quality wines at affordable prices. The palate offers grilled meat and roasted root-vegetable flavors. Fairly gripping tannins mean that this wine could survive through 2017.",,86,11.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Castle Rock 2012 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Castle Rock
Spain,"This vintage of Fontal, a basic crianza from La Mancha, shows structure, some tannin and body, and finally solid cherry and plum fruit. With a blast of obvious oak and a forward personality, it makes its point.",Fontal Crianza,85,12.0,Central Spain,La Mancha,,Michael Schachner,@wineschach,Bodegas Fontana 2004 Fontal Crianza Tempranillo (La Mancha),Tempranillo,Bodegas Fontana
Italy,"Made from the Turbiana grape, this conveys aromas of jasmine, honeysuckle and citrus with a whiff of walnut. The palate offers juicy nectarine, kiwi and lemon zest accented by a hint of almond.",1909,88,23.0,Lombardy,Lugana,,Kerin O’Keefe,@kerinokeefe,Ancilla 2012 1909  (Lugana),Turbiana,Ancilla
Italy,"Made with 60% Grechetto and Procanico, 35% Sauvignon and 5% Sémillon, this offers heady aromas of dried peach and sweet almond. On the enveloping palate, notes of acacia honey and orange peel add depth to dried apricot.",Pourriture Noble,89,40.0,Central Italy,Orvieto Classico Superiore,,Kerin O’Keefe,@kerinokeefe,Decugnano dei Barbi 2013 Pourriture Noble  (Orvieto Classico Superiore),White Blend,Decugnano dei Barbi
Italy,"This is but the second vintage in the states of this rich, internationally styled Sangiovese from this catch-all DOC near Montalcino. It's chewy, thick and packed full of black plum and blackberry. Full yet nonaggressive tannins solidify the balance, while potent hints of bitter chocolate and coffee rise up on the finish.",,88,17.0,Tuscany,Sant'Antimo,,Michael Schachner,@wineschach,Fanti 2000 Sangiovese (Sant'Antimo),Sangiovese,Fanti
New Zealand,"Smoke and custard notes accent scents of wet stone and citrus, while the palate delivers white peach, lime and vanilla flavors. This is plump and full in the mouth, yet still finishes with mouthwatering precision.",Coddington,92,45.0,Kumeu,,,Joe Czerwinski,@JoeCz,Kumeu River 2012 Coddington Chardonnay (Kumeu),Chardonnay,Kumeu River
Chile,"After a few years when Altaïr's wines strayed toward being too herbal and rustic, this is cleaner and easier to like. It's still showing the winery's typical herbal-olive aromas and flavors, but it's smooth in the mouth, with deep flavors of blackberry, cassis, licorice and cocoa. A solid, earthy finish with flavors of toast, coffee and herbs qualifies as complex. Drink now–2016.",Sideral,90,25.0,Rapel Valley,,,Michael Schachner,@wineschach,Altaïr 2009 Sideral Red (Rapel Valley),Cabernet Blend,Altaïr
US,"This is 100% varietal, quite pretty in shades of pale pink, and perfectly dry without turning sour. Flavors of watermelon, pink grapefruit, rosewater and Jonathan apples all come into play. Drink it while the wine retains its youthful freshness.",Grenache,89,18.0,Oregon,Umpqua Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Abacela 2014 Grenache Rosé (Umpqua Valley),Rosé,Abacela
US,"A subtle, pretty nose of vanilla, cherry and strawberry is backed up by bigger flavors of sour cherry, spice and vanilla. Fun and exuberant but not terribly delicate. A good match with meats and poultry.",Dry,84,17.0,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Red Tail Ridge 2008 Dry Rosé (Finger Lakes),Rosé,Red Tail Ridge
Italy,"Fragrant, fresh and frothy, this vibrant wine opens with heady aromas of jasmine, tropical fruit and lime. Made by letting the wine finish fermentation in the bottle on its lees, it doles out tangy lemon zest, candied nectarine, green apple and a saline note alongside brisk acidity.",Sui Lieviti,88,18.0,Veneto,Prosecco,,Kerin O’Keefe,@kerinokeefe,La Vigna di Iseppo 2012 Sui Lieviti  (Prosecco),Glera,La Vigna di Iseppo
US,"Even by past standards, this new vintage of Sineann's Old Vine Zin is spectacular, with ripe, jammy, concentrated fruit flavors of fig, black cherry and purple plum. The balance among the fruit, acidity, tannin and alcohol is spot-on, without blowing away the more subtle compexity of the old vine fruit.",Old Vine,95,39.0,Oregon,Columbia Gorge (OR),Oregon Other,Paul Gregutt,@paulgwine ,Sineann 2013 Old Vine Zinfandel (Columbia Gorge (OR)),Zinfandel,Sineann
US,"Golden-honey colored, this wine has toasty toffee oak and full-bodied richness, with a stark layering of citrus and baked apple. Concentrated and thick, it shows its youth and should benefit with time in both the glass and in the bottle.",Estate Grown,91,49.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Rochioli 2015 Estate Grown Chardonnay (Russian River Valley),Chardonnay,Rochioli
US,"A little more than half Chambourcin, this red blend including Merlot, Petite Sirah and Petit Verdot makes up this vibrant, fruit-forward red. Juicy red and black berries meet tart cranberries on a medium-bodied, soft palate. A slight tannic grip on the finish balances it all out, making this wine a perfect choice for late-summer barbecues.",Amici & Amanti,86,17.0,Virginia,Virginia,,Alexander Peartree,,Fabbioli Cellars 2013 Amici & Amanti Red (Virginia),Red Blend,Fabbioli Cellars
US,"Give this young Pinot 3–4 years to begin to develop, and possibly far longer before the fruit fades away. Right now, it's tannic and closed, despite sweet, ripe cherry, raspberry and cola flavors. It shows firm acidity and a fine jacket of oak that has not yet been integrated with the fruit. So intense and powerful, it's hard to believe the alcohol is a low 13.2% by volume.",Great Oak Vineyard,92,36.0,California,Russian River Valley,Sonoma,,,Joseph Swan Vineyards 2010 Great Oak Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Joseph Swan Vineyards
Uruguay,"Plum, blueberry, tea and earth notes make for an interesting set of aromas. This is a very good example of Uruguayan Tannat, even if the tannins are unresolved and clampy. Toasty top flavors shadow blueberry fruit, while this is dark and slightly bitter on the finish. Drink this tasty but choppy wine through 2020.",Las Brujas,89,22.0,Canelones,,,Michael Schachner,@wineschach,Gimenez Mendez 2015 Las Brujas Tannat (Canelones),Tannat,Gimenez Mendez
US,"This producer continues to impress with varieties that are outside the usual suspects, showing finesse with this dry expression of waxy apple and tart lemon. Creamy on the palate, it exuberantly releases stony minerality as it goes, finishing with a taste of wet stone.",Upper Ridge,91,26.0,California,Pine Mountain-Cloverdale Peak,Sonoma,Virginie Boone,@vboone,Imagery 2014 Upper Ridge Riesling (Pine Mountain-Cloverdale Peak),Riesling,Imagery
US,"Kunde has a remarkable consistency with their estate Viognier, and the ‘06 shows off the variety at its best. The wine is fully dry and very crisp, and avoids over-the-top flavors in favor of yellow citrus fruits, dates and spices. Try as an alternative to a rich Sauvignon Blanc.",,90,24.0,California,Sonoma Valley,Sonoma,,,Kunde 2006 Viognier (Sonoma Valley),Viognier,Kunde
Austria,"Very perfumed, this is a spicy Traminer with an amount of sweetness. The wine is ripe and rounded, with dominant tropical fruit. The acidity cuts through the richness. Screwcap.",Altes Kreuz,87,28.0,Niederösterreich,,,Roger Voss,@vossroger,Dürnberg 2011 Altes Kreuz Traminer (Niederösterreich),Traminer,Dürnberg
France,"This herbaceous wine is fresh, steely and crisp. Bright acidity cuts strongly through the lively texture, giving apples, lemon and pink grapefruit. Developing fast, it is ready to drink.",,87,,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Lafont Menaut 2012  Pessac-Léognan,Bordeaux-style White Blend,Château Lafont Menaut
Canada,"Perhaps a little overripe on the nose, this late harvest is high-toned and rather sharp in its attack. Concentrated peach, apricot, butter brickle and honey flavors carry the midpalate, but the finish turns bitter.",Select Late Harvest Indian Summer,89,30.0,Ontario,Niagara Peninsula,,Paul Gregutt,@paulgwine ,Cave Spring 2012 Select Late Harvest Indian Summer Riesling (Niagara Peninsula),Riesling,Cave Spring
Chile,"This six-grape blend with large amounts of Syrah and Carmenère smells fruity and jumpy, like wet dog fur and candied berry and cherry. The palate is solid, tannic and rubbery, with dark, exotic, offbeat flavors of herbal plum, blackberry and cassis. A toasty finish is solid in feel and gets a boost from residual acidity. Drink through 2020.",Coyam,89,34.0,Colchagua Valley,,,Michael Schachner,@wineschach,Emiliana 2012 Coyam Red (Colchagua Valley),Red Blend,Emiliana
Australia,"Classic Cabernet, from its mint and cassis aromas to its ample weight and long, plush finish. This is full and velvety, with hints of cedar and vanilla blending easily into the whole. Approachable now, it should age well through at least 2025.",Dead Ringer,92,60.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Wirra Wirra 2010 Dead Ringer Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,Wirra Wirra
Italy,"This sparkling blend (50-50 Chardonnay and Pinot Nero) represents one of only a handful of barrel aged metodo classico wines from Friuli in northeast Italy. The wine's perlage is firm and steely and there are soft layers of toasted bread, stone fruit and honey at the back.",Cuvée Brut,87,38.0,Northeastern Italy,Friuli,,,,Dorigo NV Cuvée Brut Sparkling (Friuli),Sparkling Blend,Dorigo
Italy,"Delicate aromas of lemon blossom, pear, Spanish broom and brimstone lead the nose on this vibrant white. The bright palate offers citrus, apple and mineral along with a touch of light oak that adds depth, while crisp acidity imparts energy.",Bianco,89,25.0,Sicily & Sardinia,Etna,,Kerin O’Keefe,@kerinokeefe,Le Vigne di Eli 2013 Bianco  (Etna),Carricante,Le Vigne di Eli
US,"Honeysuckle and jasmine punctuate the pretty aromas on the nose of this wine, which is tart and lemony on the palate. Intensely flavored, the oak is subtle and supportive.",Hopkins River Ranch,87,32.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Hawley 2015 Hopkins River Ranch Chardonnay (Russian River Valley),Chardonnay,Hawley
Italy,"Le Segreta is an easy, popular red wine from Sicily that offers the wild berry, fennel, cola and almond-like aromas associated with the beautiful Mediterranean island. The mouthfeel is informal and crisp.",La Segreta,87,15.0,Sicily & Sardinia,Sicilia,,,,Planeta 2009 La Segreta Red (Sicilia),Red Blend,Planeta
